ref	ball_pos	gear_angle	motor_voltage	zero
0.000	29.337	0.041	0.000	0.000
0.004	29.337	0.041	0.000	0.000
0.008	29.337	0.040	0.000	0.000
0.013	29.337	0.041	-0.024	0.000
0.017	29.337	0.041	-0.033	0.000
0.021	29.337	0.041	-0.042	0.000
0.025	29.326	0.041	-0.052	0.000
0.030	29.326	0.041	-0.063	0.000
0.034	29.326	0.040	-0.076	0.000
0.038	29.337	0.041	-0.082	0.000
0.042	29.347	0.038	-0.469	0.000
0.046	29.347	0.038	-0.478	0.000
0.051	29.326	0.041	-0.483	0.000
0.055	29.347	0.041	-0.492	0.000
0.059	29.337	0.040	-0.505	0.000
0.063	29.357	0.040	-0.514	0.000
0.067	29.357	0.041	-0.520	0.000
0.071	29.347	0.043	-0.526	0.000
0.076	29.357	0.043	-0.538	0.000
0.080	29.337	0.044	-0.544	0.000
0.084	29.357	0.046	-0.550	0.000
0.088	29.357	0.046	-0.559	0.000
0.092	29.357	0.047	-0.565	0.000
0.096	29.347	0.047	-0.575	0.000
0.100	29.357	0.049	-0.581	0.000
0.104	29.347	0.049	-0.590	0.000
0.108	29.368	0.053	-0.589	0.000
0.112	29.347	0.053	-0.598	0.000
0.116	29.347	0.056	-0.601	0.000
0.120	29.357	0.056	-0.610	0.000
0.123	29.368	0.056	-0.617	0.000
0.127	29.357	0.058	-0.623	0.000
0.131	29.347	0.062	-0.622	0.000
0.135	29.347	0.062	-0.632	0.000
0.139	29.368	0.063	-0.637	0.000
0.142	29.347	0.065	-0.641	0.000
0.146	29.368	0.066	-0.647	0.000
0.150	29.368	0.066	-0.656	0.000
0.154	29.368	0.068	-0.662	0.000
0.157	29.368	0.071	-0.662	0.000
0.161	29.368	0.071	-0.672	0.000
0.164	29.378	0.074	-0.672	0.000
0.168	29.378	0.074	-0.681	0.000
0.171	29.368	0.075	-0.685	0.000
0.175	29.378	0.077	-0.691	0.000
0.178	29.368	0.078	-0.694	0.000
0.182	29.378	0.080	-0.700	0.000
0.185	29.389	0.081	-0.704	0.000
0.188	29.368	0.083	-0.707	0.000
0.192	29.378	0.087	-0.706	0.000
0.195	29.378	0.089	-0.710	0.000
0.198	29.399	0.087	-0.721	0.000
0.201	29.378	0.090	-0.721	0.000
0.204	29.389	0.092	-0.724	0.000
0.207	29.378	0.093	-0.728	0.000
0.210	29.378	0.095	-0.731	0.000
0.213	29.378	0.097	-0.731	0.000
0.216	29.378	0.099	-0.735	0.000
0.219	29.389	0.102	-0.735	0.000
0.222	29.389	0.103	-0.739	0.000
0.225	29.389	0.105	-0.742	0.000
0.228	29.389	0.106	-0.746	0.000
0.231	29.389	0.109	-0.746	0.000
0.233	29.399	0.111	-0.747	0.000
0.236	29.389	0.112	-0.751	0.000
0.238	29.389	0.115	-0.748	0.000
0.241	29.399	0.117	-0.752	0.000
0.244	29.378	0.118	-0.756	0.000
0.246	29.399	0.123	-0.750	0.000
0.248	29.389	0.124	-0.751	0.000
0.251	29.389	0.124	-0.758	0.000
0.253	29.420	0.127	-0.756	0.000
0.255	29.389	0.129	-0.757	0.000
0.258	29.409	0.133	-0.754	0.000
0.260	29.389	0.133	-0.758	0.000
0.262	29.389	0.136	-0.756	0.000
0.264	29.409	0.137	-0.757	0.000
0.266	29.389	0.140	-0.755	0.000
0.268	29.389	0.140	-0.760	0.000
0.270	29.389	0.145	-0.754	0.000
0.271	29.420	0.143	-0.760	0.000
0.273	29.399	0.146	-0.758	0.000
0.275	29.409	0.149	-0.756	0.000
0.277	29.399	0.151	-0.757	0.000
0.278	29.409	0.152	-0.756	0.000
0.280	29.409	0.157	-0.750	0.000
0.281	29.399	0.155	-0.756	0.000
0.283	29.399	0.160	-0.750	0.000
0.284	29.399	0.160	-0.752	0.000
0.285	29.389	0.161	-0.751	0.000
0.287	29.399	0.164	-0.749	0.000
0.288	29.420	0.168	-0.741	0.000
0.289	29.409	0.167	-0.747	0.000
0.290	29.409	0.168	-0.746	0.000
0.291	29.409	0.168	-0.748	0.000
0.292	29.420	0.171	-0.743	0.000
0.293	29.420	0.176	-0.735	0.000
0.294	29.409	0.176	-0.738	0.000
0.295	29.420	0.180	-0.730	0.000
0.296	29.409	0.179	-0.735	0.000
0.296	29.420	0.180	-0.732	0.000
0.297	29.420	0.185	-0.724	0.000
0.298	29.420	0.186	-0.723	0.000
0.298	29.440	0.186	-0.723	0.000
0.298	29.409	0.188	-0.719	0.000
0.299	29.440	0.191	-0.715	0.000
0.299	29.409	0.191	-0.715	0.000
0.299	29.430	0.195	-0.704	0.000
0.300	29.420	0.194	-0.710	0.000
0.300	29.430	0.195	-0.707	0.000
0.300	29.420	0.198	-0.700	0.000
0.300	29.420	0.198	-0.700	0.000
0.300	29.440	0.201	-0.693	0.000
0.300	29.420	0.201	-0.693	0.000
0.300	29.430	0.202	-0.689	0.000
0.300	29.420	0.205	-0.682	0.000
0.299	29.420	0.207	-0.676	0.000
0.299	29.430	0.208	-0.673	0.000
0.299	29.430	0.207	-0.676	0.000
0.298	29.409	0.210	-0.667	0.000
0.298	29.409	0.211	-0.664	0.000
0.297	29.430	0.213	-0.658	0.000
0.296	29.430	0.216	-0.649	0.000
0.296	29.440	0.214	-0.652	0.000
0.295	29.420	0.214	-0.650	0.000
0.294	29.430	0.217	-0.640	0.000
0.293	29.440	0.220	-0.631	0.000
0.292	29.440	0.220	-0.629	0.000
0.291	29.420	0.222	-0.623	0.000
0.290	29.430	0.222	-0.621	0.000
0.289	29.451	0.222	-0.618	0.000
0.288	29.451	0.225	-0.609	0.000
0.287	29.451	0.225	-0.607	0.000
0.286	29.440	0.228	-0.597	0.000
0.284	29.451	0.231	-0.586	0.000
0.283	29.440	0.231	-0.583	0.000
0.282	29.440	0.231	-0.581	0.000
0.280	29.430	0.229	-0.580	0.000
0.279	29.440	0.231	-0.574	0.000
0.277	29.451	0.233	-0.562	0.000
0.275	29.440	0.232	-0.561	0.000
0.274	29.451	0.232	-0.559	0.000
0.272	29.451	0.233	-0.551	0.000
0.270	29.451	0.233	-0.546	0.000
0.268	29.461	0.235	-0.538	0.000
0.266	29.461	0.236	-0.529	0.000
0.264	29.451	0.238	-0.521	0.000
0.262	29.430	0.235	-0.524	0.000
0.260	29.451	0.236	-0.515	0.000
0.258	29.430	0.239	-0.504	0.000
0.256	29.440	0.238	-0.502	0.000
0.254	29.451	0.239	-0.494	0.000
0.251	29.451	0.238	-0.491	0.000
0.249	29.451	0.242	-0.476	0.000
0.247	29.451	0.242	-0.471	0.000
0.244	29.451	0.241	-0.467	0.000
0.242	29.451	0.242	-0.089	0.000
0.239	29.451	0.242	-0.082	0.000
0.236	29.451	0.241	-0.079	0.000
0.234	29.440	0.242	-0.070	0.000
0.231	29.451	0.242	-0.063	0.000
0.228	29.440	0.242	-0.056	0.000
0.226	29.440	0.242	-0.052	0.000
0.223	29.440	0.242	-0.045	0.000
0.220	29.440	0.242	-0.038	0.000
0.217	29.440	0.241	-0.034	0.000
0.214	29.451	0.242	-0.023	0.000
0.211	29.430	0.241	-0.020	0.000
0.208	29.440	0.239	-0.016	0.000
0.205	29.451	0.238	-0.013	0.000
0.202	29.440	0.239	-0.002	0.000
0.199	29.430	0.238	0.001	0.000
0.196	29.440	0.238	0.008	0.000
0.192	29.430	0.235	0.011	0.000
0.189	29.451	0.235	0.018	0.000
0.186	29.430	0.233	0.022	0.000
0.182	29.430	0.233	0.031	0.000
0.179	29.430	0.233	0.038	0.000
0.176	29.430	0.232	0.042	0.000
0.172	29.430	0.229	0.044	0.000
0.169	29.430	0.231	0.055	0.000
0.165	29.430	0.229	0.060	0.000
0.162	29.440	0.229	0.067	0.000
0.158	29.440	0.228	0.073	0.000
0.154	29.440	0.228	0.083	0.000
0.151	29.440	0.225	0.083	0.000
0.147	29.430	0.225	0.092	0.000
0.143	29.430	0.223	0.098	0.000
0.140	29.440	0.223	0.105	0.000
0.136	29.430	0.220	0.108	0.000
0.132	29.430	0.220	0.117	0.000
0.128	29.420	0.219	0.123	0.000
0.124	29.430	0.216	0.126	0.000
0.120	29.430	0.216	0.135	0.000
0.117	29.409	0.216	0.142	0.000
0.113	29.420	0.214	0.148	0.000
0.109	29.430	0.213	0.154	0.000
0.105	29.430	0.213	0.163	0.000
0.101	29.420	0.210	0.166	0.000
0.097	29.440	0.208	0.172	0.000
0.093	29.430	0.207	0.178	0.000
0.089	29.420	0.207	0.187	0.000
0.085	29.420	0.204	0.189	0.000
0.081	29.430	0.202	0.195	0.000
0.076	29.430	0.201	0.204	0.000
0.072	29.409	0.199	0.209	0.000
0.068	29.420	0.199	0.219	0.000
0.064	29.420	0.197	0.221	0.000
0.060	29.420	0.197	0.231	0.000
0.056	29.420	0.194	0.233	0.000
0.052	29.420	0.194	0.243	0.000
0.047	29.420	0.192	0.251	0.000
0.043	29.409	0.189	0.253	0.000
0.039	29.420	0.189	0.263	0.000
0.035	29.420	0.188	0.269	0.000
0.031	29.420	0.185	0.271	0.000
0.026	29.420	0.183	0.279	0.000
0.022	29.430	0.182	0.285	0.000
0.018	29.409	0.182	0.295	0.000
0.014	29.420	0.179	0.297	0.000
0.009	29.420	0.177	0.305	0.000
0.005	29.409	0.174	0.308	0.000
0.001	29.420	0.171	0.310	0.000
-0.003	29.420	0.171	0.320	0.000
-0.008	29.420	0.168	0.324	0.000
-0.012	29.420	0.168	0.334	0.000
-0.016	29.420	0.163	0.329	0.000
-0.020	29.420	0.163	0.339	0.000
-0.024	29.409	0.161	0.345	0.000
-0.029	29.420	0.160	0.353	0.000
-0.033	29.399	0.157	0.355	0.000
-0.037	29.409	0.154	0.358	0.000
-0.041	29.409	0.154	0.367	0.000
-0.046	29.409	0.149	0.369	0.000
-0.050	29.389	0.148	0.375	0.000
-0.054	29.389	0.146	0.380	0.000
-0.058	29.420	0.142	0.379	0.000
-0.062	29.420	0.139	0.382	0.000
-0.066	29.389	0.139	0.391	0.000
-0.070	29.420	0.134	0.390	0.000
-0.075	29.399	0.133	0.399	0.000
-0.079	29.399	0.129	0.398	0.000
-0.083	29.399	0.129	0.407	0.000
-0.087	29.399	0.124	0.406	0.000
-0.091	29.409	0.121	0.408	0.000
-0.095	29.389	0.118	0.411	0.000
-0.099	29.409	0.115	0.413	0.000
-0.103	29.420	0.114	0.419	0.000
-0.107	29.420	0.112	0.425	0.000
-0.111	29.399	0.108	0.424	0.000
-0.115	29.399	0.105	0.427	0.000
-0.119	29.389	0.103	0.432	0.000
-0.123	29.420	0.099	0.431	0.000
-0.126	29.399	0.097	0.435	0.000
-0.130	29.389	0.095	0.437	0.000
-0.134	29.389	0.092	0.440	0.000
-0.138	29.389	0.089	0.442	0.000
-0.142	29.399	0.083	0.438	0.000
-0.145	29.399	0.084	0.448	0.000
-0.149	29.399	0.080	0.447	0.000
-0.153	29.399	0.080	0.457	0.000
-0.156	29.409	0.077	0.457	0.000
-0.160	29.399	0.072	0.456	0.000
-0.164	29.389	0.069	0.458	0.000
-0.167	29.399	0.068	0.462	0.000
-0.171	29.389	0.065	0.464	0.000
-0.174	29.399	0.062	0.464	0.000
-0.177	29.389	0.058	0.461	0.000
-0.181	29.378	0.056	0.467	0.000
-0.184	29.399	0.052	0.464	0.000
-0.188	29.389	0.049	0.466	0.000
-0.191	29.389	0.044	0.463	0.000
-0.194	29.389	0.041	0.463	0.000
-0.197	29.399	0.040	0.466	0.000
-0.201	29.389	0.037	0.469	0.000
-0.204	29.389	0.032	0.465	0.000
-0.207	29.368	0.031	0.469	0.000
-0.210	29.389	0.026	0.466	0.000
-0.213	29.378	0.024	0.466	0.000
-0.216	29.389	0.022	0.469	0.000
-0.219	29.389	0.018	0.466	0.000
-0.222	29.368	0.015	0.466	0.000
-0.224	29.399	0.012	0.464	0.000
-0.227	29.389	0.009	0.464	0.000
-0.230	29.368	0.004	0.461	0.000
-0.233	29.399	0.003	0.464	0.000
-0.235	29.368	-0.000	0.462	0.000
-0.238	29.368	-0.003	0.462	0.000
-0.240	29.368	-0.008	0.456	0.000
-0.243	29.357	-0.009	0.460	0.000
-0.245	29.357	-0.012	0.458	0.000
-0.248	29.357	-0.016	0.454	0.000
-0.250	29.357	-0.019	0.452	0.000
-0.253	29.357	-0.021	0.455	0.000
-0.255	29.357	-0.024	0.453	0.000
-0.257	29.357	-0.027	0.451	0.000
-0.259	29.337	-0.030	0.449	0.000
-0.261	29.337	-0.033	0.447	0.000
-0.263	29.337	-0.037	0.441	0.000
-0.265	29.347	-0.039	0.442	0.000
-0.267	29.347	-0.042	0.440	0.000
-0.269	29.337	-0.044	0.438	0.000
-0.271	29.326	-0.047	0.435	0.000
-0.273	29.347	-0.050	0.433	0.000
-0.275	29.337	-0.053	0.431	0.000
-0.276	29.357	-0.058	0.423	0.000
-0.278	29.347	-0.059	0.424	0.000
-0.279	29.337	-0.064	0.416	0.000
-0.281	29.337	-0.065	0.417	0.000
-0.282	29.326	-0.068	0.412	0.000
-0.284	29.337	-0.071	0.410	0.000
-0.285	29.347	-0.071	0.413	0.000
-0.286	29.337	-0.076	0.405	0.000
-0.288	29.326	-0.080	0.399	0.000
-0.289	29.337	-0.083	0.394	0.000
-0.290	29.357	-0.086	0.390	0.000
-0.291	29.326	-0.087	0.388	0.000
-0.292	29.347	-0.089	0.387	0.000
-0.293	29.337	-0.093	0.379	0.000
-0.294	29.357	-0.096	0.375	0.000
-0.295	29.337	-0.099	0.370	0.000
-0.295	29.337	-0.102	0.363	0.000
-0.296	29.326	-0.102	0.365	0.000
-0.297	29.337	-0.105	0.361	0.000
-0.297	29.337	-0.108	0.354	0.000
-0.298	29.337	-0.111	0.349	0.000
-0.298	29.347	-0.112	0.346	0.000
-0.299	29.347	-0.117	0.338	0.000
-0.299	29.337	-0.118	0.334	0.000
-0.299	29.347	-0.121	0.327	0.000
-0.300	29.357	-0.123	0.326	0.000
-0.300	29.326	-0.124	0.323	0.000
-0.300	29.347	-0.127	0.316	0.000
-0.300	29.337	-0.130	0.309	0.000
-0.300	29.347	-0.132	0.305	0.000
-0.300	29.347	-0.136	0.295	0.000
-0.300	29.347	-0.139	0.288	0.000
-0.300	29.347	-0.141	0.285	0.000
-0.299	29.347	-0.144	0.275	0.000
-0.299	29.347	-0.145	0.272	0.000
-0.299	29.347	-0.148	0.265	0.000
-0.298	29.357	-0.149	0.259	0.000
-0.298	29.337	-0.152	0.252	0.000
-0.297	29.357	-0.154	0.246	0.000
-0.297	29.337	-0.155	0.243	0.000
-0.296	29.357	-0.158	0.234	0.000
-0.295	29.347	-0.157	0.235	0.000
-0.294	29.337	-0.160	0.225	0.000
-0.294	29.357	-0.164	0.215	0.000
-0.293	29.357	-0.164	0.213	0.000
-0.292	29.347	-0.166	0.207	0.000
-0.291	29.347	-0.172	0.190	0.000
-0.290	29.347	-0.172	0.188	0.000
-0.288	29.357	-0.173	0.180	0.000
-0.287	29.357	-0.175	0.174	0.000
-0.286	29.357	-0.176	0.168	0.000
-0.285	29.357	-0.178	0.163	0.000
-0.283	29.337	-0.180	0.151	0.000
-0.282	29.347	-0.182	0.145	0.000
-0.280	29.337	-0.183	0.137	0.000
-0.279	29.337	-0.183	0.135	0.000
-0.277	29.347	-0.185	0.126	0.000
-0.276	29.347	-0.188	0.117	0.000
-0.274	29.337	-0.189	0.109	0.000
-0.272	29.357	-0.191	0.101	0.000
-0.270	29.347	-0.191	0.096	0.000
-0.269	29.337	-0.192	0.090	0.000
-0.267	29.326	-0.194	0.082	0.000
-0.265	29.337	-0.195	0.074	0.000
-0.263	29.337	-0.195	0.069	0.000
-0.261	29.347	-0.198	0.058	0.000
-0.258	29.378	-0.200	0.047	0.000
-0.256	29.399	-0.200	0.042	0.000
-0.254	29.389	-0.200	0.038	0.000
-0.252	29.389	-0.201	0.029	0.000
-0.249	29.409	-0.203	0.019	0.000
-0.247	29.399	-0.204	0.011	0.000
-0.245	29.420	-0.206	0.003	0.000
-0.242	29.420	-0.207	-0.008	0.000
-0.240	29.420	-0.207	-0.013	0.000
-0.237	29.420	-0.209	-0.023	0.000
-0.234	29.420	-0.210	-0.034	0.000
-0.232	29.440	-0.210	-0.038	0.000
-0.229	29.420	-0.212	-0.049	0.000
-0.226	29.430	-0.210	-0.053	0.000
-0.223	29.430	-0.212	-0.063	0.000
-0.221	29.440	-0.213	-0.071	0.000
-0.218	29.451	-0.214	-0.082	0.000
-0.215	29.430	-0.213	-0.085	0.000
-0.212	29.451	-0.213	-0.462	0.000
-0.209	29.440	-0.214	-0.473	0.000
-0.206	29.451	-0.213	-0.476	0.000
-0.203	29.461	-0.216	-0.490	0.000
-0.199	29.461	-0.216	-0.500	0.000
-0.196	29.451	-0.216	-0.507	0.000
-0.193	29.472	-0.216	-0.514	0.000
-0.190	29.461	-0.214	-0.518	0.000
-0.186	29.472	-0.214	-0.527	0.000
-0.183	29.472	-0.214	-0.534	0.000
-0.180	29.472	-0.214	-0.541	0.000
-0.176	29.492	-0.213	-0.547	0.000
-0.173	29.472	-0.213	-0.554	0.000
-0.169	29.472	-0.212	-0.560	0.000
-0.166	29.472	-0.212	-0.567	0.000
-0.162	29.482	-0.213	-0.580	0.000
-0.159	29.492	-0.210	-0.580	0.000
-0.155	29.503	-0.210	-0.589	0.000
-0.151	29.492	-0.212	-0.602	0.000
-0.148	29.492	-0.209	-0.602	0.000
-0.144	29.523	-0.207	-0.608	0.000
-0.140	29.523	-0.207	-0.618	0.000
-0.137	29.513	-0.207	-0.625	0.000
-0.133	29.534	-0.207	-0.634	0.000
-0.129	29.534	-0.207	-0.643	0.000
-0.125	29.544	-0.204	-0.646	0.000
-0.121	29.544	-0.204	-0.655	0.000
-0.117	29.544	-0.204	-0.665	0.000
-0.113	29.544	-0.203	-0.671	0.000
-0.110	29.555	-0.201	-0.674	0.000
-0.106	29.555	-0.201	-0.684	0.000
-0.102	29.555	-0.201	-0.693	0.000
-0.098	29.555	-0.198	-0.695	0.000
-0.094	29.575	-0.197	-0.701	0.000
-0.090	29.586	-0.195	-0.707	0.000
-0.086	29.586	-0.195	-0.717	0.000
-0.081	29.606	-0.192	-0.721	0.000
-0.077	29.596	-0.191	-0.727	0.000
-0.073	29.606	-0.191	-0.737	0.000
-0.069	29.617	-0.188	-0.739	0.000
-0.065	29.606	-0.189	-0.752	0.000
-0.061	29.617	-0.188	-0.758	0.000
-0.057	29.617	-0.186	-0.764	0.000
-0.053	29.638	-0.183	-0.766	0.000
-0.048	29.638	-0.183	-0.778	0.000
-0.044	29.638	-0.180	-0.781	0.000
-0.040	29.658	-0.180	-0.790	0.000
-0.036	29.648	-0.179	-0.796	0.000
-0.032	29.658	-0.178	-0.802	0.000
-0.027	29.658	-0.176	-0.810	0.000
-0.023	29.669	-0.175	-0.816	0.000
-0.019	29.669	-0.172	-0.819	0.000
-0.015	29.658	-0.173	-0.831	0.000
-0.010	29.658	-0.169	-0.833	0.000
-0.006	29.658	-0.166	-0.835	0.000
-0.002	29.690	-0.166	-0.845	0.000
0.002	29.658	-0.164	-0.850	0.000
0.007	29.658	-0.161	-0.855	0.000
0.011	29.679	-0.160	-0.861	0.000
0.015	29.679	-0.158	-0.867	0.000
0.019	29.679	-0.157	-0.873	0.000
0.024	29.700	-0.152	-0.874	0.000
0.028	29.721	-0.151	-0.880	0.000
0.032	29.721	-0.151	-0.890	0.000
0.036	29.721	-0.148	-0.892	0.000
0.040	29.721	-0.146	-0.898	0.000
0.045	29.741	-0.145	-0.906	0.000
0.049	29.773	-0.144	-0.912	0.000
0.053	29.783	-0.139	-0.911	0.000
0.057	29.793	-0.136	-0.914	0.000
0.061	29.793	-0.135	-0.920	0.000
0.065	29.804	-0.135	-0.929	0.000
0.070	29.793	-0.133	-0.937	0.000
0.074	29.783	-0.130	-0.940	0.000
0.078	29.804	-0.127	-0.942	0.000
0.082	29.814	-0.124	-0.945	0.000
0.086	29.793	-0.123	-0.951	0.000
0.090	29.804	-0.123	-0.960	0.000
0.094	29.814	-0.120	-0.962	0.000
0.098	29.835	-0.118	-0.968	0.000
0.102	29.824	-0.115	-0.971	0.000
0.106	29.835	-0.111	-0.970	0.000
0.110	29.856	-0.111	-0.979	0.000
0.114	29.845	-0.107	-0.978	0.000
0.118	29.866	-0.104	-0.981	0.000
0.122	29.856	-0.104	-0.990	0.000
0.126	29.856	-0.101	-0.992	0.000
0.129	29.866	-0.096	-0.989	0.000
0.133	29.876	-0.095	-0.995	0.000
0.137	29.887	-0.092	-0.997	0.000
0.141	29.876	-0.089	-1.000	0.000
0.145	29.897	-0.086	-1.002	0.000
0.148	29.876	-0.084	-1.006	0.000
0.152	29.897	-0.083	-1.012	0.000
0.156	29.918	-0.077	-1.007	0.000
0.159	29.928	-0.077	-1.014	0.000
0.163	29.949	-0.074	-1.017	0.000
0.166	29.970	-0.073	-1.020	0.000
0.170	30.001	-0.070	-1.023	0.000
0.173	30.001	-0.065	-1.020	0.000
0.177	30.001	-0.067	-1.032	0.000
0.180	30.011	-0.059	-1.022	0.000
0.183	30.032	-0.056	-1.022	0.000
0.187	30.053	-0.053	-1.025	0.000
0.190	30.053	-0.052	-1.028	0.000
0.193	30.053	-0.050	-1.032	0.000
0.197	30.053	-0.049	-1.038	0.000
0.200	30.063	-0.046	-1.038	0.000
0.203	30.073	-0.042	-1.034	0.000
0.206	30.063	-0.039	-1.035	0.000
0.209	30.084	-0.034	-1.031	0.000
0.212	30.084	-0.033	-1.035	0.000
0.215	30.084	-0.030	-1.035	0.000
0.218	30.094	-0.028	-1.038	0.000
