ref	ball_pos	gear_angle	motor_voltage	zero
0.300	40.221	-0.745	0.000	0.000
0.300	40.200	-0.742	0.000	0.000
0.300	40.211	-0.745	0.000	0.000
0.300	40.231	-0.742	-2.909	0.000
0.300	40.231	-0.748	-2.923	0.000
0.300	40.242	-0.747	-2.919	0.000
0.300	40.231	-0.742	-2.909	0.000
0.300	40.242	-0.739	-2.902	0.000
0.300	40.263	-0.733	-2.888	0.000
0.300	40.242	-0.727	-2.874	0.000
0.300	40.273	-0.722	-2.860	0.000
0.300	40.263	-0.714	-2.843	0.000
0.300	40.273	-0.707	-2.825	0.000
0.300	40.263	-0.699	-2.808	0.000
0.300	40.252	-0.691	-2.787	0.000
0.300	40.273	-0.680	-2.763	0.000
0.300	40.283	-0.673	-2.745	0.000
0.300	40.283	-0.662	-2.721	0.000
0.300	40.283	-0.651	-2.693	0.000
0.300	40.263	-0.643	-2.676	0.000
0.300	40.283	-0.631	-2.648	0.000
0.300	40.273	-0.621	-2.624	0.000
0.300	40.283	-0.612	-2.603	0.000
0.300	40.283	-0.602	-2.579	0.000
0.300	40.283	-0.591	-2.554	0.000
0.300	40.283	-0.581	-2.530	0.000
0.300	40.294	-0.571	-2.506	0.000
0.300	40.283	-0.559	-2.478	0.000
0.300	40.294	-0.550	-2.457	0.000
0.300	40.283	-0.538	-2.429	0.000
0.300	40.283	-0.529	-2.408	0.000
0.300	40.294	-0.522	-2.391	0.000
0.300	40.283	-0.509	-2.360	0.000
0.300	40.304	-0.498	-2.336	0.000
0.300	40.304	-0.488	-2.311	0.000
0.300	40.304	-0.478	-2.287	0.000
0.300	40.304	-0.470	-2.270	0.000
0.300	40.304	-0.458	-2.242	0.000
0.300	40.294	-0.450	-2.221	0.000
0.300	40.294	-0.439	-2.197	0.000
0.300	40.294	-0.430	-2.176	0.000
0.300	40.304	-0.420	-2.151	0.000
0.300	40.294	-0.408	-2.124	0.000
0.300	40.283	-0.401	-2.106	0.000
0.300	40.315	-0.390	-2.082	0.000
0.300	40.283	-0.383	-2.065	0.000
0.300	40.304	-0.373	-2.040	0.000
0.300	40.304	-0.367	-2.026	0.000
0.300	40.294	-0.355	-1.999	0.000
0.300	40.315	-0.350	-1.988	0.000
0.300	40.315	-0.339	-1.960	0.000
0.300	40.294	-0.333	-1.947	0.000
0.300	40.294	-0.322	-1.922	0.000
0.300	40.304	-0.314	-1.901	0.000
0.300	40.283	-0.305	-1.881	0.000
0.300	40.315	-0.297	-1.863	0.000
0.300	40.315	-0.291	-1.849	0.000
0.300	40.315	-0.281	-1.825	0.000
0.300	40.304	-0.275	-1.811	0.000
0.300	40.304	-0.266	-1.790	0.000
0.300	40.294	-0.257	-1.769	0.000
0.300	40.315	-0.251	-1.756	0.000
0.300	40.315	-0.244	-1.738	0.000
0.300	40.294	-0.238	-1.724	0.000
0.300	40.315	-0.228	-1.700	0.000
0.300	40.315	-0.222	-1.686	0.000
0.300	40.304	-0.216	-1.672	0.000
0.300	40.315	-0.207	-1.651	0.000
0.300	40.315	-0.203	-1.641	0.000
0.300	40.304	-0.195	-1.624	0.000
0.300	40.325	-0.189	-1.610	0.000
0.300	40.294	-0.183	-1.596	0.000
0.300	40.304	-0.178	-1.582	0.000
0.300	40.304	-0.170	-1.564	0.000
0.300	40.304	-0.164	-1.551	0.000
0.300	40.315	-0.157	-1.533	0.000
0.300	40.315	-0.151	-1.519	0.000
0.300	40.304	-0.144	-1.502	0.000
0.300	40.315	-0.139	-1.492	0.000
0.300	40.294	-0.133	-1.478	0.000
0.300	40.304	-0.127	-1.464	0.000
0.300	40.304	-0.121	-1.450	0.000
0.300	40.304	-0.115	-1.436	0.000
0.300	40.304	-0.111	-1.426	0.000
0.300	40.315	-0.105	-1.412	0.000
0.300	40.304	-0.099	-1.398	0.000
0.300	40.294	-0.095	-1.387	0.000
0.300	40.304	-0.090	-1.377	0.000
0.300	40.304	-0.081	-1.356	0.000
0.300	40.294	-0.078	-1.349	0.000
0.300	40.304	-0.073	-1.335	0.000
0.300	40.304	-0.068	-1.325	0.000
0.300	40.304	-0.064	-1.314	0.000
0.300	40.294	-0.058	-1.301	0.000
0.300	40.304	-0.053	-1.290	0.000
0.300	40.294	-0.049	-1.280	0.000
0.300	40.304	-0.044	-1.269	0.000
0.300	40.315	-0.037	-1.252	0.000
0.300	40.315	-0.034	-1.245	0.000
0.300	40.304	-0.031	-1.238	0.000
0.300	40.325	-0.025	-1.224	0.000
0.300	40.304	-0.021	-1.214	0.000
0.300	40.315	-0.018	-1.207	0.000
0.300	40.304	-0.012	-1.193	0.000
0.300	40.335	-0.008	-1.182	0.000
0.300	40.315	-0.005	-1.175	0.000
0.300	40.325	0.001	-1.162	0.000
0.300	40.325	0.006	-1.151	0.000
0.300	40.325	0.010	-1.141	0.000
0.300	40.304	0.012	-1.137	0.000
0.300	40.315	0.018	-1.123	0.000
0.300	40.315	0.021	-1.116	0.000
0.300	40.325	0.024	-1.109	0.000
0.300	40.325	0.026	-1.103	0.000
0.300	40.315	0.032	-1.089	0.000
0.300	40.325	0.035	-1.082	0.000
0.300	40.325	0.041	-1.068	0.000
0.300	40.315	0.043	-1.064	0.000
0.300	40.304	0.046	-1.057	0.000
0.300	40.325	0.050	-1.047	0.000
0.300	40.335	0.053	-1.040	0.000
0.300	40.304	0.058	-1.030	0.000
0.300	40.325	0.062	-1.019	0.000
0.300	40.325	0.063	-1.016	0.000
0.300	40.335	0.066	-1.009	0.000
0.300	40.315	0.069	-1.002	0.000
0.300	40.335	0.072	-0.995	0.000
0.300	40.325	0.077	-0.984	0.000
0.300	40.325	0.081	-0.974	0.000
0.300	40.325	0.083	-0.971	0.000
0.300	40.335	0.084	-0.967	0.000
0.300	40.335	0.087	-0.960	0.000
0.300	40.325	0.092	-0.950	0.000
0.300	40.335	0.095	-0.943	0.000
0.300	40.325	0.097	-0.936	0.000
0.300	40.335	0.099	-0.932	0.000
0.300	40.325	0.102	-0.925	0.000
0.300	40.335	0.105	-0.918	0.000
0.300	40.325	0.106	-0.915	0.000
0.300	40.304	0.111	-0.905	0.000
0.300	40.325	0.112	-0.901	0.000
0.300	40.325	0.115	-0.894	0.000
0.300	40.325	0.120	-0.884	0.000
0.300	40.356	0.120	-0.884	0.000
0.300	40.325	0.124	-0.873	0.000
0.300	40.325	0.126	-0.870	0.000
0.300	40.325	0.127	-0.866	0.000
0.300	40.335	0.131	-0.856	0.000
0.300	40.325	0.133	-0.852	0.000
0.300	40.325	0.136	-0.846	0.000
0.300	40.335	0.139	-0.839	0.000
0.300	40.325	0.140	-0.835	0.000
0.300	40.325	0.143	-0.828	0.000
0.300	40.325	0.143	-0.828	0.000
0.300	40.325	0.146	-0.821	0.000
0.300	40.315	0.151	-0.811	0.000
0.300	40.325	0.151	-0.811	0.000
0.300	40.325	0.155	-0.800	0.000
0.300	40.335	0.155	-0.800	0.000
0.300	40.325	0.155	-0.800	0.000
0.300	40.315	0.158	-0.793	0.000
0.300	40.325	0.161	-0.786	0.000
0.300	40.315	0.161	-0.786	0.000
0.300	40.325	0.165	-0.776	0.000
0.300	40.325	0.167	-0.773	0.000
0.300	40.315	0.168	-0.769	0.000
0.300	40.325	0.168	-0.769	0.000
0.300	40.325	0.171	-0.762	0.000
0.300	40.315	0.177	-0.748	0.000
0.300	40.325	0.173	-0.759	0.000
0.300	40.315	0.179	-0.745	0.000
0.300	40.325	0.179	-0.745	0.000
0.300	40.315	0.180	-0.741	0.000
0.300	40.315	0.183	-0.734	0.000
0.300	40.325	0.183	-0.734	0.000
0.300	40.315	0.185	-0.731	0.000
0.300	40.325	0.186	-0.727	0.000
0.300	40.335	0.191	-0.717	0.000
0.300	40.315	0.191	-0.717	0.000
0.300	40.325	0.192	-0.714	0.000
0.300	40.325	0.194	-0.710	0.000
0.300	40.315	0.195	-0.707	0.000
0.300	40.315	0.198	-0.700	0.000
0.300	40.325	0.198	-0.700	0.000
0.300	40.315	0.201	-0.693	0.000
0.300	40.325	0.202	-0.689	0.000
0.300	40.315	0.202	-0.689	0.000
0.300	40.325	0.204	-0.686	0.000
0.300	40.325	0.207	-0.679	0.000
0.300	40.304	0.207	-0.679	0.000
0.300	40.294	0.208	-0.675	0.000
0.300	40.304	0.211	-0.668	0.000
0.300	40.304	0.210	-0.672	0.000
0.300	40.304	0.213	-0.665	0.000
0.300	40.294	0.214	-0.661	0.000
