ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.375	-0.648	0.000	0.000
0.700	4.375	-0.649	0.000	0.000
0.700	4.377	-0.648	0.000	0.000
0.700	4.375	-0.648	-1.689	0.000
0.700	4.382	-0.651	-1.693	0.000
0.700	4.382	-0.651	-1.693	0.000
0.700	4.380	-0.652	-1.694	0.000
0.700	4.380	-0.652	-1.694	0.000
0.700	4.382	-0.646	-1.687	0.000
0.700	4.380	-0.642	-1.682	0.000
0.700	4.377	-0.639	-1.679	0.000
0.700	4.380	-0.633	-1.672	0.000
0.700	4.382	-0.628	-1.666	0.000
0.700	4.380	-0.621	-1.658	0.000
0.700	4.377	-0.617	-1.653	0.000
0.700	4.382	-0.609	-1.644	0.000
0.700	4.380	-0.605	-1.639	0.000
0.700	4.377	-0.597	-1.630	0.000
0.700	4.380	-0.593	-1.625	0.000
0.700	4.380	-0.584	-1.614	0.000
0.700	4.377	-0.577	-1.606	0.000
0.700	4.377	-0.571	-1.599	0.000
0.700	4.380	-0.562	-1.588	0.000
0.700	4.377	-0.556	-1.581	0.000
0.700	4.380	-0.549	-1.573	0.000
0.700	4.380	-0.541	-1.564	0.000
0.700	4.380	-0.534	-1.555	0.000
0.700	4.380	-0.528	-1.548	0.000
0.700	4.377	-0.522	-1.541	0.000
0.700	4.380	-0.513	-1.531	0.000
0.700	4.380	-0.506	-1.522	0.000
0.700	4.375	-0.498	-1.514	0.000
0.700	4.380	-0.491	-1.505	0.000
0.700	4.377	-0.487	-1.500	0.000
0.700	4.377	-0.478	-1.489	0.000
0.700	4.375	-0.472	-1.482	0.000
0.700	4.375	-0.464	-1.474	0.000
0.700	4.377	-0.457	-1.465	0.000
0.700	4.380	-0.450	-1.456	0.000
0.700	4.375	-0.444	-1.449	0.000
0.700	4.377	-0.436	-1.441	0.000
0.700	4.375	-0.429	-1.432	0.000
0.700	4.375	-0.424	-1.427	0.000
0.700	4.375	-0.416	-1.416	0.000
0.700	4.373	-0.408	-1.408	0.000
0.700	4.373	-0.402	-1.401	0.000
0.700	4.377	-0.395	-1.392	0.000
0.700	4.375	-0.389	-1.385	0.000
0.700	4.375	-0.383	-1.378	0.000
0.700	4.380	-0.377	-1.371	0.000
0.700	4.377	-0.368	-1.361	0.000
0.700	4.373	-0.362	-1.354	0.000
0.700	4.375	-0.356	-1.347	0.000
0.700	4.373	-0.350	-1.340	0.000
0.700	4.375	-0.345	-1.333	0.000
0.700	4.373	-0.336	-1.323	0.000
0.700	4.375	-0.330	-1.316	0.000
0.700	4.375	-0.322	-1.307	0.000
0.700	4.373	-0.316	-1.300	0.000
0.700	4.375	-0.309	-1.291	0.000
0.700	4.373	-0.305	-1.286	0.000
0.700	4.373	-0.297	-1.277	0.000
0.700	4.373	-0.291	-1.271	0.000
0.700	4.375	-0.285	-1.264	0.000
0.700	4.373	-0.278	-1.255	0.000
0.700	4.373	-0.272	-1.248	0.000
0.700	4.373	-0.268	-1.243	0.000
0.700	4.375	-0.260	-1.234	0.000
0.700	4.373	-0.254	-1.227	0.000
0.700	4.370	-0.248	-1.220	0.000
0.700	4.373	-0.243	-1.213	0.000
0.700	4.375	-0.240	-1.210	0.000
0.700	4.375	-0.232	-1.201	0.000
0.700	4.370	-0.226	-1.194	0.000
0.700	4.368	-0.220	-1.187	0.000
0.700	4.373	-0.216	-1.182	0.000
0.700	4.370	-0.210	-1.175	0.000
0.700	4.368	-0.204	-1.168	0.000
0.700	4.373	-0.200	-1.163	0.000
0.700	4.370	-0.194	-1.156	0.000
0.700	4.373	-0.189	-1.151	0.000
0.700	4.373	-0.185	-1.145	0.000
0.700	4.368	-0.178	-1.137	0.000
0.700	4.370	-0.172	-1.130	0.000
0.700	4.373	-0.166	-1.123	0.000
0.700	4.370	-0.160	-1.116	0.000
0.700	4.370	-0.155	-1.111	0.000
0.700	4.368	-0.148	-1.102	0.000
0.700	4.370	-0.145	-1.099	0.000
0.700	4.370	-0.139	-1.092	0.000
0.700	4.370	-0.138	-1.090	0.000
0.700	4.370	-0.130	-1.081	0.000
0.700	4.373	-0.123	-1.073	0.000
0.700	4.368	-0.118	-1.067	0.000
0.700	4.368	-0.112	-1.060	0.000
0.700	4.370	-0.110	-1.057	0.000
0.700	4.370	-0.105	-1.052	0.000
0.700	4.370	-0.099	-1.045	0.000
0.700	4.365	-0.096	-1.041	0.000
0.700	4.370	-0.089	-1.033	0.000
0.700	4.368	-0.084	-1.027	0.000
0.700	4.370	-0.078	-1.020	0.000
0.700	4.370	-0.074	-1.015	0.000
0.700	4.370	-0.070	-1.010	0.000
0.700	4.365	-0.065	-1.005	0.000
0.700	4.370	-0.059	-0.998	0.000
0.700	4.368	-0.055	-0.993	0.000
0.700	4.370	-0.050	-0.987	0.000
0.700	4.368	-0.046	-0.982	0.000
0.700	4.365	-0.040	-0.975	0.000
0.700	4.365	-0.037	-0.972	0.000
0.700	4.370	-0.031	-0.965	0.000
0.700	4.368	-0.027	-0.960	0.000
0.700	4.365	-0.022	-0.954	0.000
0.700	4.370	-0.019	-0.951	0.000
0.700	4.368	-0.013	-0.944	0.000
0.700	4.365	-0.009	-0.939	0.000
0.700	4.365	-0.005	-0.934	0.000
0.700	4.365	-0.000	-0.928	0.000
0.700	4.365	0.003	-0.925	0.000
0.700	4.365	0.009	-0.918	0.000
