ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.375	-0.648	0.000	0.000
0.700	4.375	-0.645	0.000	0.000
0.700	4.375	-0.648	0.000	0.000
0.700	4.380	-0.648	-3.272	0.000
0.700	4.385	-0.655	-3.289	0.000
0.700	4.382	-0.652	-3.282	0.000
0.700	4.385	-0.654	-3.286	0.000
0.700	4.382	-0.645	-3.265	0.000
0.700	4.385	-0.637	-3.248	0.000
0.700	4.385	-0.631	-3.234	0.000
0.700	4.385	-0.621	-3.210	0.000
0.700	4.382	-0.612	-3.189	0.000
0.700	4.382	-0.600	-3.161	0.000
0.700	4.385	-0.590	-3.137	0.000
0.700	4.380	-0.577	-3.105	0.000
0.700	4.380	-0.566	-3.081	0.000
0.700	4.377	-0.550	-3.043	0.000
0.700	4.385	-0.538	-3.015	0.000
0.700	4.380	-0.526	-2.987	0.000
0.700	4.382	-0.513	-2.956	0.000
0.700	4.377	-0.500	-2.925	0.000
0.700	4.382	-0.487	-2.893	0.000
0.700	4.382	-0.472	-2.859	0.000
0.700	4.380	-0.460	-2.831	0.000
0.700	4.380	-0.447	-2.800	0.000
0.700	4.380	-0.432	-2.765	0.000
0.700	4.377	-0.418	-2.734	0.000
0.700	4.380	-0.404	-2.699	0.000
0.700	4.380	-0.390	-2.668	0.000
0.700	4.380	-0.380	-2.643	0.000
0.700	4.377	-0.365	-2.609	0.000
0.700	4.377	-0.355	-2.584	0.000
0.700	4.380	-0.339	-2.546	0.000
0.700	4.380	-0.327	-2.518	0.000
0.700	4.380	-0.312	-2.484	0.000
0.700	4.375	-0.300	-2.456	0.000
0.700	4.375	-0.287	-2.425	0.000
0.700	4.380	-0.274	-2.393	0.000
0.700	4.380	-0.260	-2.362	0.000
0.700	4.380	-0.248	-2.334	0.000
0.700	4.380	-0.238	-2.310	0.000
0.700	4.377	-0.226	-2.282	0.000
0.700	4.380	-0.214	-2.254	0.000
0.700	4.375	-0.203	-2.227	0.000
0.700	4.375	-0.189	-2.195	0.000
0.700	4.375	-0.178	-2.168	0.000
0.700	4.373	-0.166	-2.140	0.000
0.700	4.373	-0.154	-2.112	0.000
0.700	4.375	-0.144	-2.088	0.000
0.700	4.373	-0.133	-2.063	0.000
0.700	4.380	-0.123	-2.039	0.000
0.700	4.380	-0.111	-2.011	0.000
0.700	4.373	-0.104	-1.994	0.000
0.700	4.375	-0.092	-1.966	0.000
0.700	4.375	-0.080	-1.938	0.000
0.700	4.375	-0.070	-1.914	0.000
0.700	4.373	-0.061	-1.893	0.000
0.700	4.373	-0.049	-1.865	0.000
0.700	4.373	-0.040	-1.845	0.000
0.700	4.375	-0.031	-1.824	0.000
0.700	4.375	-0.022	-1.803	0.000
0.700	4.375	-0.010	-1.775	0.000
0.700	4.373	-0.002	-1.754	0.000
0.700	4.373	0.007	-1.733	0.000
0.700	4.370	0.018	-1.709	0.000
0.700	4.370	0.028	-1.685	0.000
0.700	4.373	0.037	-1.664	0.000
0.700	4.370	0.046	-1.643	0.000
0.700	4.375	0.055	-1.622	0.000
0.700	4.373	0.062	-1.605	0.000
0.700	4.370	0.069	-1.588	0.000
0.700	4.368	0.078	-1.567	0.000
0.700	4.370	0.089	-1.542	0.000
0.700	4.368	0.096	-1.525	0.000
0.700	4.370	0.103	-1.508	0.000
0.700	4.370	0.109	-1.494	0.000
0.700	4.368	0.118	-1.473	0.000
0.700	4.370	0.127	-1.452	0.000
0.700	4.370	0.136	-1.431	0.000
0.700	4.365	0.140	-1.421	0.000
0.700	4.370	0.151	-1.397	0.000
0.700	4.370	0.160	-1.376	0.000
0.700	4.370	0.163	-1.369	0.000
0.700	4.370	0.171	-1.348	0.000
0.700	4.370	0.177	-1.334	0.000
0.700	4.368	0.186	-1.313	0.000
0.700	4.365	0.192	-1.299	0.000
0.700	4.365	0.199	-1.282	0.000
0.700	4.370	0.207	-1.265	0.000
0.700	4.368	0.211	-1.254	0.000
0.700	4.365	0.219	-1.237	0.000
0.700	4.365	0.226	-1.219	0.000
0.700	4.370	0.232	-1.205	0.000
0.700	4.370	0.239	-1.188	0.000
0.700	4.365	0.245	-1.174	0.000
0.700	4.370	0.251	-1.160	0.000
0.700	4.370	0.256	-1.150	0.000
0.700	4.365	0.262	-1.136	0.000
0.700	4.363	0.270	-1.115	0.000
0.700	4.365	0.273	-1.108	0.000
0.700	4.365	0.282	-1.087	0.000
0.700	4.370	0.287	-1.077	0.000
0.700	4.363	0.291	-1.067	0.000
0.700	4.368	0.297	-1.053	0.000
0.700	4.365	0.304	-1.035	0.000
0.700	4.365	0.307	-1.028	0.000
0.700	4.365	0.313	-1.014	0.000
0.700	4.363	0.319	-1.001	0.000
0.700	4.365	0.325	-0.987	0.000
0.700	4.365	0.330	-0.976	0.000
0.700	4.363	0.333	-0.969	0.000
0.700	4.365	0.337	-0.959	0.000
0.700	4.363	0.343	-0.945	0.000
0.700	4.363	0.347	-0.935	0.000
0.700	4.363	0.353	-0.921	0.000
0.700	4.365	0.355	-0.917	0.000
0.700	4.363	0.362	-0.900	0.000
0.700	4.363	0.365	-0.893	0.000
0.700	4.368	0.369	-0.882	0.000
0.700	4.360	0.375	-0.869	0.000
0.700	4.363	0.377	-0.865	0.000
0.700	4.365	0.381	-0.855	0.000
0.700	4.365	0.389	-0.837	0.000
0.700	4.363	0.393	-0.827	0.000
0.700	4.360	0.396	-0.820	0.000
0.700	4.363	0.399	-0.813	0.000
0.700	4.360	0.403	-0.803	0.000
0.700	4.360	0.406	-0.796	0.000
0.700	4.360	0.412	-0.782	0.000
0.700	4.363	0.417	-0.771	0.000
0.700	4.360	0.420	-0.764	0.000
0.700	4.358	0.424	-0.754	0.000
0.700	4.358	0.427	-0.747	0.000
0.700	4.358	0.432	-0.737	0.000
0.700	4.360	0.435	-0.730	0.000
0.700	4.363	0.439	-0.719	0.000
0.700	4.363	0.443	-0.709	0.000
0.700	4.360	0.445	-0.705	0.000
0.700	4.360	0.448	-0.698	0.000
0.700	4.358	0.452	-0.688	0.000
0.700	4.358	0.455	-0.681	0.000
0.700	4.360	0.461	-0.667	0.000
0.700	4.358	0.461	-0.667	0.000
0.700	4.360	0.467	-0.653	0.000
0.700	4.355	0.470	-0.646	0.000
0.700	4.355	0.473	-0.639	0.000
0.700	4.360	0.476	-0.632	0.000
0.700	4.353	0.479	-0.625	0.000
0.700	4.358	0.483	-0.615	0.000
0.700	4.360	0.483	-0.615	0.000
0.700	4.358	0.489	-0.601	0.000
0.700	4.360	0.491	-0.598	0.000
0.700	4.360	0.495	-0.587	0.000
0.700	4.355	0.498	-0.580	0.000
0.700	4.360	0.501	-0.573	0.000
0.700	4.358	0.504	-0.566	0.000
0.700	4.355	0.504	-0.566	0.000
0.700	4.360	0.508	-0.556	0.000
0.700	4.360	0.511	-0.549	0.000
0.700	4.355	0.514	-0.542	0.000
0.700	4.358	0.517	-0.535	0.000
0.700	4.355	0.519	-0.532	0.000
0.700	4.358	0.520	-0.528	0.000
0.700	4.355	0.523	-0.521	0.000
0.700	4.355	0.526	-0.514	0.000
0.700	4.360	0.529	-0.507	0.000
0.700	4.353	0.531	-0.504	0.000
0.700	4.355	0.535	-0.493	0.000
0.700	4.355	0.538	-0.487	0.000
0.700	4.358	0.540	-0.483	0.000
0.700	4.355	0.541	-0.480	0.000
0.700	4.358	0.544	-0.473	0.000
0.700	4.351	0.545	-0.469	0.000
0.700	4.353	0.545	-0.469	0.000
0.700	4.355	0.550	-0.459	0.000
0.700	4.355	0.551	-0.455	0.000
0.700	4.360	0.553	-0.452	0.000
0.700	4.353	0.556	-0.445	0.000
0.700	4.355	0.556	-0.445	0.000
0.700	4.355	0.560	-0.434	0.000
0.700	4.355	0.563	-0.427	0.000
0.700	4.358	0.563	-0.427	0.000
0.700	4.353	0.566	-0.421	0.000
0.700	4.351	0.568	-0.417	0.000
0.700	4.353	0.568	-0.417	0.000
0.700	4.355	0.572	-0.407	0.000
0.700	4.353	0.575	-0.400	0.000
0.700	4.353	0.575	-0.400	0.000
0.700	4.355	0.578	-0.393	0.000
0.700	4.355	0.579	-0.389	0.000
0.700	4.351	0.581	-0.386	0.000
0.700	4.353	0.581	-0.386	0.000
0.700	4.351	0.585	-0.375	0.000
0.700	4.351	0.588	-0.368	0.000
0.700	4.353	0.587	-0.372	0.000
0.700	4.351	0.591	-0.361	0.000
0.700	4.351	0.591	-0.361	0.000
0.700	4.353	0.593	-0.358	0.000
0.700	4.353	0.594	-0.355	0.000
0.700	4.353	0.594	-0.355	0.000
0.700	4.348	0.597	-0.348	0.000
0.700	4.353	0.600	-0.341	0.000
0.700	4.351	0.600	-0.341	0.000
0.700	4.353	0.602	-0.337	0.000
0.700	4.351	0.603	-0.334	0.000
0.700	4.348	0.605	-0.330	0.000
0.700	4.353	0.606	-0.327	0.000
0.700	4.351	0.609	-0.320	0.000
0.700	4.353	0.609	-0.320	0.000
0.700	4.351	0.609	-0.320	0.000
0.700	4.351	0.610	-0.316	0.000
0.700	4.351	0.612	-0.313	0.000
0.700	4.351	0.613	-0.309	0.000
0.700	4.346	0.615	-0.306	0.000
0.700	4.348	0.618	-0.299	0.000
0.700	4.351	0.618	-0.299	0.000
0.700	4.351	0.621	-0.292	0.000
0.700	4.351	0.621	-0.292	0.000
0.700	4.351	0.621	-0.292	0.000
0.700	4.351	0.621	-0.292	0.000
0.700	4.351	0.622	-0.289	0.000
0.700	4.351	0.625	-0.282	0.000
0.700	4.351	0.625	-0.282	0.000
0.700	4.351	0.625	-0.282	0.000
0.700	4.351	0.628	-0.275	0.000
0.700	4.351	0.628	-0.275	0.000
0.700	4.348	0.628	-0.275	0.000
0.700	4.351	0.633	-0.264	0.000
0.700	4.346	0.633	-0.264	0.000
0.700	4.348	0.634	-0.261	0.000
0.700	4.351	0.634	-0.261	0.000
0.700	4.348	0.634	-0.261	0.000
0.700	4.351	0.637	-0.254	0.000
0.700	4.351	0.636	-0.257	0.000
0.700	4.346	0.637	-0.254	0.000
0.700	4.351	0.639	-0.250	0.000
0.700	4.351	0.639	-0.250	0.000
0.700	4.348	0.640	-0.247	0.000
0.700	4.351	0.642	-0.243	0.000
0.700	4.351	0.643	-0.240	0.000
0.700	4.346	0.644	-0.236	0.000
0.700	4.346	0.644	-0.236	0.000
0.700	4.351	0.644	-0.236	0.000
0.700	4.343	0.646	-0.233	0.000
0.700	4.346	0.643	-0.240	0.000
0.700	4.346	0.649	-0.226	0.000
0.700	4.348	0.649	-0.226	0.000
0.700	4.341	0.649	-0.226	0.000
0.700	4.348	0.652	-0.219	0.000
0.700	4.343	0.652	-0.219	0.000
0.700	4.341	0.652	-0.219	0.000
0.700	4.343	0.650	-0.223	0.000
0.700	4.346	0.653	-0.216	0.000
0.700	4.343	0.653	-0.216	0.000
