ref	ball_pos	gear_angle	motor_voltage	zero
0.700	-0.093	-0.869	0.000	0.000
0.700	-0.093	-0.869	0.000	0.000
0.700	-0.093	-0.868	0.000	0.000
0.700	-0.095	-0.868	-4.144	0.000
0.700	-0.083	-0.875	-4.161	0.000
0.700	-0.083	-0.874	-4.157	0.000
0.700	-0.083	-0.868	-4.144	0.000
0.700	-0.083	-0.862	-4.130	0.000
0.700	-0.083	-0.853	-4.109	0.000
0.700	-0.083	-0.844	-4.088	0.000
0.700	-0.083	-0.831	-4.057	0.000
0.700	-0.083	-0.819	-4.029	0.000
0.700	-0.090	-0.807	-4.001	0.000
0.700	-0.088	-0.795	-3.973	0.000
0.700	-0.083	-0.779	-3.935	0.000
0.700	-0.083	-0.767	-3.907	0.000
0.700	-0.090	-0.751	-3.869	0.000
0.700	-0.088	-0.735	-3.831	0.000
0.700	-0.088	-0.723	-3.803	0.000
0.700	-0.090	-0.708	-3.768	0.000
0.700	-0.088	-0.689	-3.723	0.000
0.700	-0.090	-0.673	-3.685	0.000
0.700	-0.093	-0.658	-3.650	0.000
0.700	-0.090	-0.640	-3.609	0.000
0.700	-0.093	-0.624	-3.570	0.000
0.700	-0.093	-0.609	-3.536	0.000
0.700	-0.088	-0.593	-3.498	0.000
0.700	-0.093	-0.577	-3.459	0.000
0.700	-0.093	-0.559	-3.418	0.000
0.700	-0.090	-0.544	-3.383	0.000
0.700	-0.095	-0.531	-3.352	0.000
0.700	-0.098	-0.513	-3.310	0.000
0.700	-0.100	-0.497	-3.272	0.000
0.700	-0.098	-0.484	-3.241	0.000
0.700	-0.100	-0.469	-3.206	0.000
0.700	-0.098	-0.451	-3.164	0.000
0.700	-0.098	-0.439	-3.136	0.000
0.700	-0.103	-0.421	-3.095	0.000
0.700	-0.105	-0.405	-3.056	0.000
0.700	-0.103	-0.392	-3.025	0.000
0.700	-0.100	-0.377	-2.990	0.000
0.700	-0.103	-0.361	-2.952	0.000
0.700	-0.105	-0.348	-2.921	0.000
0.700	-0.107	-0.334	-2.890	0.000
0.700	-0.105	-0.321	-2.858	0.000
0.700	-0.105	-0.306	-2.824	0.000
0.700	-0.107	-0.294	-2.796	0.000
0.700	-0.110	-0.278	-2.758	0.000
0.700	-0.110	-0.268	-2.733	0.000
0.700	-0.110	-0.251	-2.695	0.000
0.700	-0.110	-0.240	-2.667	0.000
0.700	-0.110	-0.228	-2.640	0.000
0.700	-0.112	-0.216	-2.612	0.000
0.700	-0.110	-0.201	-2.577	0.000
0.700	-0.112	-0.189	-2.549	0.000
0.700	-0.112	-0.178	-2.522	0.000
0.700	-0.115	-0.166	-2.494	0.000
0.700	-0.115	-0.155	-2.469	0.000
0.700	-0.115	-0.142	-2.438	0.000
0.700	-0.117	-0.133	-2.417	0.000
0.700	-0.115	-0.121	-2.390	0.000
0.700	-0.117	-0.108	-2.358	0.000
0.700	-0.117	-0.098	-2.334	0.000
0.700	-0.117	-0.089	-2.313	0.000
0.700	-0.117	-0.077	-2.285	0.000
0.700	-0.115	-0.067	-2.261	0.000
0.700	-0.117	-0.056	-2.237	0.000
0.700	-0.117	-0.046	-2.212	0.000
0.700	-0.117	-0.034	-2.185	0.000
0.700	-0.117	-0.025	-2.164	0.000
0.700	-0.117	-0.015	-2.140	0.000
0.700	-0.120	-0.006	-2.119	0.000
0.700	-0.117	0.007	-2.087	0.000
0.700	-0.117	0.016	-2.067	0.000
0.700	-0.120	0.025	-2.046	0.000
0.700	-0.117	0.034	-2.025	0.000
0.700	-0.117	0.043	-2.004	0.000
0.700	-0.117	0.050	-1.987	0.000
0.700	-0.122	0.062	-1.959	0.000
0.700	-0.120	0.071	-1.938	0.000
0.700	-0.120	0.080	-1.917	0.000
0.700	-0.117	0.089	-1.896	0.000
0.700	-0.122	0.097	-1.876	0.000
0.700	-0.120	0.105	-1.858	0.000
0.700	-0.122	0.114	-1.837	0.000
0.700	-0.125	0.123	-1.817	0.000
0.700	-0.122	0.131	-1.796	0.000
0.700	-0.120	0.137	-1.782	0.000
0.700	-0.120	0.148	-1.757	0.000
0.700	-0.122	0.154	-1.744	0.000
0.700	-0.122	0.163	-1.723	0.000
0.700	-0.120	0.171	-1.702	0.000
0.700	-0.122	0.176	-1.691	0.000
0.700	-0.125	0.185	-1.671	0.000
0.700	-0.125	0.192	-1.653	0.000
0.700	-0.122	0.201	-1.632	0.000
0.700	-0.122	0.208	-1.615	0.000
0.700	-0.125	0.214	-1.601	0.000
0.700	-0.122	0.220	-1.587	0.000
0.700	-0.122	0.228	-1.570	0.000
0.700	-0.120	0.233	-1.556	0.000
0.700	-0.125	0.242	-1.535	0.000
0.700	-0.122	0.250	-1.518	0.000
0.700	-0.122	0.256	-1.504	0.000
0.700	-0.125	0.259	-1.497	0.000
0.700	-0.127	0.266	-1.480	0.000
0.700	-0.127	0.273	-1.462	0.000
0.700	-0.122	0.282	-1.441	0.000
0.700	-0.125	0.287	-1.431	0.000
0.700	-0.125	0.293	-1.417	0.000
0.700	-0.125	0.297	-1.407	0.000
0.700	-0.125	0.304	-1.389	0.000
0.700	-0.127	0.312	-1.372	0.000
0.700	-0.127	0.316	-1.362	0.000
0.700	-0.127	0.322	-1.348	0.000
0.700	-0.125	0.327	-1.337	0.000
0.700	-0.127	0.330	-1.330	0.000
0.700	-0.129	0.338	-1.309	0.000
0.700	-0.122	0.341	-1.302	0.000
0.700	-0.129	0.347	-1.289	0.000
0.700	-0.129	0.350	-1.282	0.000
0.700	-0.129	0.356	-1.268	0.000
0.700	-0.129	0.362	-1.254	0.000
0.700	-0.132	0.367	-1.243	0.000
0.700	-0.132	0.374	-1.226	0.000
0.700	-0.129	0.377	-1.219	0.000
