ref	ball_pos	gear_angle	motor_voltage	zero
0.700	3.491	-0.871	0.000	0.000
0.700	3.491	-0.869	0.000	0.000
0.700	3.496	-0.869	0.000	0.000
0.700	3.486	-0.869	-2.304	0.000
0.700	3.496	-0.874	-2.309	0.000
0.700	3.496	-0.874	-2.309	0.000
0.700	3.496	-0.869	-2.304	0.000
0.700	3.494	-0.865	-2.298	0.000
0.700	3.496	-0.862	-2.295	0.000
0.700	3.496	-0.858	-2.290	0.000
0.700	3.496	-0.853	-2.284	0.000
0.700	3.494	-0.844	-2.274	0.000
0.700	3.496	-0.840	-2.269	0.000
0.700	3.496	-0.831	-2.258	0.000
0.700	3.496	-0.827	-2.253	0.000
0.700	3.496	-0.818	-2.243	0.000
0.700	3.494	-0.812	-2.236	0.000
0.700	3.496	-0.806	-2.229	0.000
0.700	3.496	-0.795	-2.217	0.000
0.700	3.496	-0.787	-2.206	0.000
0.700	3.496	-0.779	-2.198	0.000
0.700	3.494	-0.770	-2.187	0.000
0.700	3.494	-0.763	-2.178	0.000
0.700	3.496	-0.754	-2.168	0.000
0.700	3.494	-0.747	-2.159	0.000
0.700	3.496	-0.738	-2.149	0.000
0.700	3.496	-0.729	-2.139	0.000
0.700	3.494	-0.719	-2.126	0.000
0.700	3.491	-0.711	-2.118	0.000
0.700	3.494	-0.702	-2.107	0.000
0.700	3.491	-0.693	-2.097	0.000
0.700	3.494	-0.688	-2.090	0.000
0.700	3.494	-0.677	-2.078	0.000
0.700	3.491	-0.668	-2.067	0.000
0.700	3.496	-0.659	-2.057	0.000
0.700	3.496	-0.652	-2.048	0.000
0.700	3.494	-0.645	-2.040	0.000
0.700	3.494	-0.637	-2.031	0.000
0.700	3.491	-0.628	-2.020	0.000
0.700	3.491	-0.618	-2.008	0.000
0.700	3.494	-0.612	-2.001	0.000
0.700	3.494	-0.602	-1.989	0.000
0.700	3.491	-0.596	-1.982	0.000
0.700	3.489	-0.587	-1.972	0.000
0.700	3.491	-0.578	-1.961	0.000
0.700	3.489	-0.571	-1.953	0.000
0.700	3.491	-0.562	-1.942	0.000
0.700	3.491	-0.553	-1.932	0.000
0.700	3.491	-0.546	-1.923	0.000
0.700	3.491	-0.540	-1.916	0.000
0.700	3.491	-0.529	-1.904	0.000
0.700	3.491	-0.521	-1.894	0.000
0.700	3.491	-0.515	-1.887	0.000
0.700	3.489	-0.507	-1.878	0.000
0.700	3.491	-0.498	-1.868	0.000
0.700	3.491	-0.491	-1.859	0.000
0.700	3.484	-0.485	-1.852	0.000
0.700	3.486	-0.478	-1.843	0.000
0.700	3.491	-0.467	-1.831	0.000
0.700	3.489	-0.461	-1.824	0.000
0.700	3.486	-0.454	-1.816	0.000
0.700	3.489	-0.447	-1.807	0.000
0.700	3.489	-0.439	-1.798	0.000
0.700	3.491	-0.432	-1.789	0.000
0.700	3.491	-0.427	-1.784	0.000
0.700	3.484	-0.417	-1.772	0.000
0.700	3.484	-0.408	-1.762	0.000
0.700	3.486	-0.401	-1.753	0.000
0.700	3.486	-0.396	-1.748	0.000
0.700	3.486	-0.389	-1.739	0.000
0.700	3.486	-0.382	-1.730	0.000
0.700	3.486	-0.373	-1.720	0.000
0.700	3.486	-0.367	-1.713	0.000
0.700	3.486	-0.361	-1.706	0.000
0.700	3.484	-0.355	-1.699	0.000
0.700	3.486	-0.348	-1.690	0.000
0.700	3.489	-0.340	-1.682	0.000
0.700	3.484	-0.333	-1.673	0.000
0.700	3.484	-0.325	-1.664	0.000
0.700	3.486	-0.321	-1.659	0.000
0.700	3.484	-0.314	-1.651	0.000
0.700	3.484	-0.308	-1.644	0.000
0.700	3.484	-0.303	-1.638	0.000
0.700	3.479	-0.294	-1.628	0.000
0.700	3.484	-0.288	-1.621	0.000
0.700	3.484	-0.281	-1.612	0.000
0.700	3.479	-0.277	-1.607	0.000
0.700	3.479	-0.271	-1.600	0.000
0.700	3.484	-0.262	-1.590	0.000
0.700	3.486	-0.257	-1.585	0.000
0.700	3.484	-0.251	-1.578	0.000
0.700	3.484	-0.246	-1.571	0.000
0.700	3.481	-0.240	-1.564	0.000
0.700	3.481	-0.235	-1.559	0.000
0.700	3.481	-0.228	-1.550	0.000
0.700	3.481	-0.220	-1.541	0.000
0.700	3.481	-0.214	-1.534	0.000
0.700	3.481	-0.210	-1.529	0.000
0.700	3.479	-0.206	-1.524	0.000
0.700	3.481	-0.198	-1.515	0.000
0.700	3.481	-0.194	-1.510	0.000
0.700	3.481	-0.188	-1.503	0.000
0.700	3.481	-0.183	-1.498	0.000
0.700	3.481	-0.176	-1.489	0.000
0.700	3.481	-0.170	-1.482	0.000
0.700	3.479	-0.164	-1.475	0.000
0.700	3.479	-0.158	-1.468	0.000
0.700	3.479	-0.155	-1.465	0.000
0.700	3.481	-0.148	-1.456	0.000
0.700	3.481	-0.144	-1.451	0.000
0.700	3.481	-0.141	-1.447	0.000
0.700	3.479	-0.135	-1.440	0.000
0.700	3.477	-0.129	-1.433	0.000
0.700	3.477	-0.123	-1.427	0.000
0.700	3.477	-0.118	-1.421	0.000
0.700	3.481	-0.112	-1.414	0.000
0.700	3.479	-0.107	-1.407	0.000
0.700	3.481	-0.104	-1.404	0.000
0.700	3.477	-0.098	-1.397	0.000
0.700	3.481	-0.093	-1.392	0.000
0.700	3.479	-0.087	-1.385	0.000
0.700	3.477	-0.083	-1.380	0.000
0.700	3.477	-0.077	-1.373	0.000
0.700	3.481	-0.071	-1.366	0.000
0.700	3.477	-0.068	-1.362	0.000
0.700	3.477	-0.064	-1.357	0.000
0.700	3.477	-0.058	-1.350	0.000
0.700	3.477	-0.052	-1.343	0.000
0.700	3.477	-0.047	-1.338	0.000
0.700	3.477	-0.043	-1.333	0.000
0.700	3.477	-0.037	-1.326	0.000
0.700	3.472	-0.033	-1.321	0.000
0.700	3.477	-0.028	-1.315	0.000
0.700	3.474	-0.024	-1.310	0.000
0.700	3.477	-0.018	-1.303	0.000
0.700	3.477	-0.015	-1.300	0.000
0.700	3.474	-0.010	-1.295	0.000
0.700	3.477	-0.006	-1.289	0.000
0.700	3.474	-0.000	-1.282	0.000
0.700	3.472	0.003	-1.279	0.000
0.700	3.474	0.009	-1.272	0.000
0.700	3.472	0.015	-1.265	0.000
0.700	3.472	0.018	-1.262	0.000
0.700	3.477	0.019	-1.260	0.000
0.700	3.477	0.026	-1.251	0.000
0.700	3.472	0.029	-1.248	0.000
0.700	3.472	0.034	-1.242	0.000
0.700	3.472	0.040	-1.236	0.000
0.700	3.469	0.043	-1.232	0.000
0.700	3.477	0.046	-1.229	0.000
0.700	3.477	0.053	-1.220	0.000
0.700	3.474	0.058	-1.215	0.000
0.700	3.472	0.059	-1.213	0.000
0.700	3.472	0.065	-1.206	0.000
0.700	3.474	0.068	-1.203	0.000
0.700	3.474	0.072	-1.197	0.000
0.700	3.477	0.077	-1.192	0.000
0.700	3.474	0.081	-1.187	0.000
0.700	3.472	0.084	-1.183	0.000
0.700	3.477	0.087	-1.180	0.000
0.700	3.472	0.090	-1.176	0.000
0.700	3.477	0.096	-1.170	0.000
0.700	3.474	0.100	-1.164	0.000
0.700	3.477	0.105	-1.159	0.000
0.700	3.477	0.108	-1.156	0.000
0.700	3.479	0.114	-1.149	0.000
0.700	3.477	0.115	-1.147	0.000
0.700	3.489	0.121	-1.140	0.000
0.700	3.489	0.126	-1.135	0.000
0.700	3.491	0.129	-1.131	0.000
0.700	3.491	0.133	-1.126	0.000
0.700	3.496	0.136	-1.123	0.000
0.700	3.494	0.140	-1.117	0.000
0.700	3.503	0.145	-1.112	0.000
0.700	3.506	0.148	-1.109	0.000
0.700	3.523	0.151	-1.105	0.000
0.700	3.530	0.154	-1.102	0.000
0.700	3.533	0.160	-1.095	0.000
0.700	3.542	0.164	-1.090	0.000
0.700	3.557	0.165	-1.088	0.000
0.700	3.562	0.168	-1.084	0.000
0.700	3.562	0.174	-1.077	0.000
0.700	3.564	0.176	-1.076	0.000
0.700	3.567	0.180	-1.071	0.000
0.700	3.567	0.185	-1.065	0.000
0.700	3.572	0.186	-1.064	0.000
0.700	3.574	0.191	-1.058	0.000
0.700	3.572	0.195	-1.053	0.000
0.700	3.574	0.198	-1.050	0.000
0.700	3.574	0.201	-1.046	0.000
0.700	3.572	0.205	-1.041	0.000
0.700	3.574	0.207	-1.039	0.000
0.700	3.574	0.211	-1.034	0.000
0.700	3.574	0.214	-1.031	0.000
0.700	3.574	0.217	-1.027	0.000
0.700	3.574	0.222	-1.022	0.000
0.700	3.579	0.225	-1.018	0.000
0.700	3.582	0.228	-1.015	0.000
0.700	3.584	0.232	-1.010	0.000
0.700	3.584	0.232	-1.010	0.000
0.700	3.584	0.238	-1.003	0.000
0.700	3.584	0.241	-0.999	0.000
0.700	3.589	0.244	-0.996	0.000
0.700	3.584	0.247	-0.992	0.000
0.700	3.582	0.250	-0.989	0.000
0.700	3.584	0.253	-0.985	0.000
0.700	3.584	0.254	-0.984	0.000
0.700	3.586	0.257	-0.980	0.000
0.700	3.586	0.262	-0.975	0.000
0.700	3.579	0.266	-0.970	0.000
0.700	3.584	0.266	-0.970	0.000
0.700	3.584	0.270	-0.965	0.000
